protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
UB2D3_HUMAN,Ubiquitin-conjugating enzyme E2 D3 OS=Homo sapiens GN=UBE2D3 PE=1 SV=1,26.53,89.2044,1.5089,23.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.29,141.9425,2.401
FKB10_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens GN=FKBP10 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,15.81,13.8742,0.8985,NaN,NaN,NaN,19.42,13.9379,0.9026,15.46,17.8872,1.1583
RGPA2_HUMAN,Ral GTPase-activating protein subunit alpha-2 OS=Homo sapiens GN=RALGAPA2 PE=1 SV=2,13.03,220.7367,47.066,21.04,31.4325,6.7021,NaN,NaN,NaN,8.92,16.7816,3.5782,NaN,NaN,NaN,NaN,NaN,NaN
CMS1_HUMAN,Protein CMSS1 OS=Homo sapiens GN=CMSS1 PE=1 SV=2,NaN,NaN,NaN,18.28,3.1893,0.1026,NaN,NaN,NaN,NaN,NaN,NaN,23.3,28.0196,0.9014,21.15,13.5253,0.4351
M4K2_HUMAN,Mitogen-activated protein kinase kinase kinase kinase 2 OS=Homo sapiens GN=MAP4K2 PE=1 SV=2,24.88,178.4199,16.5084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.46,55.4659,5.132,13.17,15.2487,1.4109
RPP30_HUMAN,Ribonuclease P protein subunit p30 OS=Homo sapiens GN=RPP30 PE=1 SV=1,26.12,65.0058,1.932,NaN,NaN,NaN,NaN,NaN,NaN,18.28,16.6638,0.4953,NaN,NaN,NaN,24.25,50.1166,1.4895
RGPD2_HUMAN,RANBP2-like and GRIP domain-containing protein 2 OS=Homo sapiens GN=RGPD2 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,21.13,3.2358,0.6432,15.09,NaN,NaN,NaN,NaN,NaN,18.62,0.898,0.1785
CTTB2_HUMAN,Cortactin-binding protein 2 OS=Homo sapiens GN=CTTNBP2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.76,30.4556,5.587,11.37,7.1627,1.314,14.37,28.7875,5.281
PB1_HUMAN,Protein polybromo-1 OS=Homo sapiens GN=PBRM1 PE=1 SV=1,21.61,184.748,35.8786,NaN,NaN,NaN,20.01,23.363,4.5372,NaN,NaN,NaN,NaN,NaN,NaN,23.51,85.1131,16.5292
MK08_HUMAN,Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8 PE=1 SV=2,28.81,50.7911,2.482,34.89,1.2817,0.0626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.14,41.1064,2.0087
TF65_HUMAN,Transcription factor p65 OS=Homo sapiens GN=RELA PE=1 SV=2,22.5,65.6898,3.9895,21.23,80.0788,4.8634,21.78,15.4326,0.9373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COIA1_HUMAN,Collagen alpha-1(XVIII) chain OS=Homo sapiens GN=COL18A1 PE=1 SV=5,12.77,71.0928,12.7611,NaN,NaN,NaN,NaN,NaN,NaN,7.13,40.8898,7.3397,NaN,NaN,NaN,6.56,92.9314,16.6811
Z3H7A_HUMAN,Zinc finger CCCH domain-containing protein 7A OS=Homo sapiens GN=ZC3H7A PE=1 SV=1,18.02,36.2414,4.0743,NaN,NaN,NaN,NaN,NaN,NaN,16.27,23.4391,2.635,10.61,27.9883,3.1464,NaN,NaN,NaN
OTU6B_HUMAN,OTU domain-containing protein 6B OS=Homo sapiens GN=OTUD6B PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,41.64,9.9208,0.3377,21.16,11.0351,0.3756,NaN,NaN,NaN,40.96,35.9512,1.2238
MRO2B_HUMAN,Maestro heat-like repeat-containing protein family member 2B OS=Homo sapiens GN=MROH2B PE=2 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,16.28,16.554,3.0162,11.36,26.5866,4.8442,10.28,22.0276,4.0136,NaN,NaN,NaN
TERF2_HUMAN,Telomeric repeat-binding factor 2 OS=Homo sapiens GN=TERF2 PE=1 SV=3,27.86,161.1565,9.6315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,18.7246,1.1191,54.98,30.5994,1.8288
LRRC1_HUMAN,Leucine-rich repeat-containing protein 1 OS=Homo sapiens GN=LRRC1 PE=1 SV=1,18.32,68.3361,4.099,NaN,NaN,NaN,20.42,16.6914,1.0012,NaN,NaN,NaN,NaN,NaN,NaN,22.14,14.5837,0.8748
AKAP8_HUMAN,A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,21.68,6.443,0.494,16.18,5.9181,0.4538,14.02,11.9786,0.9185,NaN,NaN,NaN
SMYD3_HUMAN,Histone-lysine N-methyltransferase SMYD3 OS=Homo sapiens GN=SMYD3 PE=1 SV=4,10.28,22.707,1.1446,NaN,NaN,NaN,NaN,NaN,NaN,12.62,4.7252,0.2382,NaN,NaN,NaN,15.89,28.7737,1.4505
CASP8_HUMAN,Caspase-8 OS=Homo sapiens GN=CASP8 PE=1 SV=1,22.55,152.3596,8.5523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.75,18.7983,1.0552,15.66,34.5585,1.9399
SYCM_HUMAN,Probable cysteine--tRNA ligase_ mitochondrial OS=Homo sapiens GN=CARS2 PE=1 SV=1,NaN,NaN,NaN,18.62,11.248,0.7057,15.96,19.0005,1.192,NaN,NaN,NaN,NaN,NaN,NaN,20.92,18.8928,1.1853
DUS9_HUMAN,Dual specificity protein phosphatase 9 OS=Homo sapiens GN=DUSP9 PE=1 SV=1,25.52,4.5804,0.1941,NaN,NaN,NaN,NaN,NaN,NaN,8.33,0.5041,0.0214,NaN,NaN,NaN,19.79,31.4949,1.3348
FCF1_HUMAN,rRNA-processing protein FCF1 homolog OS=Homo sapiens GN=FCF1 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,11.11,15.3193,0.365,11.11,3.897,0.0928,17.68,15.2911,0.3643,NaN,NaN,NaN
MAN1_HUMAN,Inner nuclear membrane protein Man1 OS=Homo sapiens GN=LEMD3 PE=1 SV=2,30.08,32.726,3.3005,NaN,NaN,NaN,NaN,NaN,NaN,14.27,6.942,0.7001,NaN,NaN,NaN,15.7,27.2538,2.7486
RPE_HUMAN,Ribulose-phosphate 3-epimerase OS=Homo sapiens GN=RPE PE=1 SV=1,5.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.96,NaN,NaN,NaN,NaN,NaN,10.53,NaN,NaN
SYTL4_HUMAN,Synaptotagmin-like protein 4 OS=Homo sapiens GN=SYTL4 PE=1 SV=2,23.55,181.3895,13.9037,NaN,NaN,NaN,NaN,NaN,NaN,21.31,54.1846,4.1533,16.84,116.4718,8.9277,NaN,NaN,NaN
SNG2_HUMAN,Synaptogyrin-2 OS=Homo sapiens GN=SYNGR2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48,20.1952,0.5068,4.46,24.8512,0.6236,8.04,35.0743,0.8802
KAZRN_HUMAN,Kazrin OS=Homo sapiens GN=KAZN PE=1 SV=2,13.81,128.0818,11.1185,NaN,NaN,NaN,NaN,NaN,NaN,13.68,39.0068,3.3861,17.81,42.3376,3.6752,NaN,NaN,NaN
LRC14_HUMAN,Leucine-rich repeat-containing protein 14 OS=Homo sapiens GN=LRRC14 PE=2 SV=1,15.21,82.7116,4.5796,NaN,NaN,NaN,14,56.6345,3.1358,NaN,NaN,NaN,NaN,NaN,NaN,19.47,14.9164,0.8259
DYH14_HUMAN,Dynein heavy chain 14_ axonemal OS=Homo sapiens GN=DNAH14 PE=2 SV=3,NaN,NaN,NaN,13.2,22.8679,9.2426,NaN,NaN,NaN,NaN,NaN,NaN,7.39,150.9359,61.0041,6.99,98.7971,39.9311
ITSN1_HUMAN,Intersectin-1 OS=Homo sapiens GN=ITSN1 PE=1 SV=3,13.31,157.9814,31.0082,NaN,NaN,NaN,20.28,140.3383,27.5452,NaN,NaN,NaN,NaN,NaN,NaN,21.96,436.3041,85.6366
WDR4_HUMAN,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 OS=Homo sapiens GN=WDR4 PE=1 SV=2,20.39,13.1799,0.6093,NaN,NaN,NaN,NaN,NaN,NaN,18.2,33.8975,1.5671,NaN,NaN,NaN,23.3,22.0519,1.0195
FIL1L_HUMAN,Filamin A-interacting protein 1-like OS=Homo sapiens GN=FILIP1L PE=1 SV=2,21.23,107.4351,14.075,NaN,NaN,NaN,26.78,25.244,3.3072,14.19,24.0257,3.1476,NaN,NaN,NaN,NaN,NaN,NaN
PURB_HUMAN,Transcriptional activator protein Pur-beta OS=Homo sapiens GN=PURB PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.59,7.0289,0.2348,18.27,20.6698,0.6906,16.03,10.6155,0.3547
CE85L_HUMAN,Centrosomal protein of 85 kDa-like OS=Homo sapiens GN=CEP85L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,18.88,20.8893,1.9393,16.02,12.8886,1.1965,NaN,NaN,NaN,15.9,25.9307,2.4073
CX7A2_HUMAN,Cytochrome c oxidase subunit 7A2_ mitochondrial OS=Homo sapiens GN=COX7A2 PE=1 SV=1,39.76,48.3802,0.4546,NaN,NaN,NaN,84.34,48.3871,0.4546,NaN,NaN,NaN,NaN,NaN,NaN,60.24,127.2519,1.1957
HMOX1_HUMAN,Heme oxygenase 1 OS=Homo sapiens GN=HMOX1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.04,19.7391,0.6478,15.97,19.8195,0.6504,36.46,66.4153,2.1797
LNP_HUMAN,Protein lunapark OS=Homo sapiens GN=LNP PE=1 SV=2,23.6,265.9218,12.7861,NaN,NaN,NaN,NaN,NaN,NaN,20.33,9.7488,0.4687,NaN,NaN,NaN,26.4,150.1563,7.2198
CETN2_HUMAN,Centrin-2 OS=Homo sapiens GN=CETN2 PE=1 SV=1,36.05,10.4771,0.2068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.53,51.4012,1.0146,34.3,41.1947,0.8131
CCHL_HUMAN,Cytochrome c-type heme lyase OS=Homo sapiens GN=HCCS PE=1 SV=1,31.34,174.9473,5.4235,NaN,NaN,NaN,NaN,NaN,NaN,31.72,1.2318,0.0382,NaN,NaN,NaN,25.37,35.3272,1.0952
MEP50_HUMAN,Methylosome protein 50 OS=Homo sapiens GN=WDR77 PE=1 SV=1,13.74,75.0243,2.8108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.91,14.6025,0.5471,21.35,81.224,3.0431
FBX22_HUMAN,F-box only protein 22 OS=Homo sapiens GN=FBXO22 PE=1 SV=1,21.84,47.3307,2.1444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6,17.4433,0.7903,14.14,17.2936,0.7835
UBXN6_HUMAN,UBX domain-containing protein 6 OS=Homo sapiens GN=UBXN6 PE=1 SV=1,19.95,118.9883,5.954,NaN,NaN,NaN,NaN,NaN,NaN,18.14,58.8503,2.9448,17.69,28.6454,1.4334,NaN,NaN,NaN
UB2D2_HUMAN,Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens GN=UBE2D2 PE=1 SV=1,19.05,5.3411,0.0906,36.05,22.6252,0.3838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.69,24.5044,0.4157
SYF1_HUMAN,Pre-mRNA-splicing factor SYF1 OS=Homo sapiens GN=XAB2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,21.75,9.9031,0.9983,NaN,NaN,NaN,22.81,32.615,3.2879,23.74,55.9494,5.6402
ZN469_HUMAN,Zinc finger protein 469 OS=Homo sapiens GN=ZNF469 PE=2 SV=3,13.43,29.1562,12.083,NaN,NaN,NaN,NaN,NaN,NaN,15.44,47.9841,19.8857,NaN,NaN,NaN,9.96,114.3905,47.4059
RM42_HUMAN,39S ribosomal protein L42_ mitochondrial OS=Homo sapiens GN=MRPL42 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.54,34.5062,0.5848,26.06,6.7353,0.1141,34.51,22.6216,0.3834
FUCO2_HUMAN,Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.7,18.8251,1.0243,11.56,15.2452,0.8295,12.63,38.8085,2.1115
SERF1_HUMAN,Small EDRK-rich factor 1 OS=Homo sapiens GN=SERF1A PE=2 SV=1,21.82,2.59,0.0324,NaN,NaN,NaN,3.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.64,NaN,NaN
EMAL4_HUMAN,Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.33,24.7649,2.7241,18.76,88.5999,9.746,21.81,220.6422,24.2706
SLU7_HUMAN,Pre-mRNA-splicing factor SLU7 OS=Homo sapiens GN=SLU7 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,30.72,23.9525,1.649,21.33,1.3239,0.0911,NaN,NaN,NaN,19.62,156.9364,10.804
S61A2_HUMAN,Protein transport protein Sec61 subunit alpha isoform 2 OS=Homo sapiens GN=SEC61A2 PE=2 SV=3,3.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.93,7.3089,0.3852,5.25,NaN,NaN
ITA2_HUMAN,Integrin alpha-2 OS=Homo sapiens GN=ITGA2 PE=1 SV=1,15.33,53.0451,6.925,13.21,5.0401,0.658,NaN,NaN,NaN,NaN,NaN,NaN,13.12,29.9193,3.906,NaN,NaN,NaN
CDN1A_HUMAN,Cyclin-dependent kinase inhibitor 1 OS=Homo sapiens GN=CDKN1A PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.95,30.9905,0.5704,29.27,6.9177,0.1273,10.37,10.1006,0.1859
CNTP4_HUMAN,Contactin-associated protein-like 4 OS=Homo sapiens GN=CNTNAP4 PE=1 SV=3,10.02,350.1893,51.5726,10.7,35.84,5.2782,NaN,NaN,NaN,NaN,NaN,NaN,11.09,164.2295,24.1862,NaN,NaN,NaN
AKTS1_HUMAN,Proline-rich AKT1 substrate 1 OS=Homo sapiens GN=AKT1S1 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,17.58,10.0203,0.2767,NaN,NaN,NaN,22.27,10.179,0.2811,26.56,16.1904,0.447
ZN419_HUMAN,Zinc finger protein 419 OS=Homo sapiens GN=ZNF419 PE=2 SV=2,6.86,300.1189,18.0211,12.75,0.9258,0.0556,NaN,NaN,NaN,9.41,45.1255,2.7096,NaN,NaN,NaN,NaN,NaN,NaN
EFC11_HUMAN,EF-hand calcium-binding domain-containing protein 11 OS=Homo sapiens GN=EFCAB11 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,23.93,9.2679,0.1787,27.61,6.0773,0.1172,NaN,NaN,NaN,20.86,19.9844,0.3853
FSD1_HUMAN,Fibronectin type III and SPRY domain-containing protein 1 OS=Homo sapiens GN=FSD1 PE=1 SV=1,27.42,92.9405,5.2303,NaN,NaN,NaN,21.37,13.8631,0.7802,NaN,NaN,NaN,13.91,14.5405,0.8183,NaN,NaN,NaN
CLP1L_HUMAN,Cleft lip and palate transmembrane protein 1-like protein OS=Homo sapiens GN=CLPTM1L PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.81,7.2293,0.4523,15.24,7.7519,0.485,9.29,15.2516,0.9543
RAP2C_HUMAN,Ras-related protein Rap-2c OS=Homo sapiens GN=RAP2C PE=1 SV=1,26.23,25.0911,0.5262,NaN,NaN,NaN,NaN,NaN,NaN,27.32,9.3079,0.1952,NaN,NaN,NaN,25.68,15.139,0.3175
MBNL1_HUMAN,Muscleblind-like protein 1 OS=Homo sapiens GN=MBNL1 PE=1 SV=2,12.89,87.3849,3.719,27.84,51.7124,2.2008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.79,126.8125,5.397
SPS2L_HUMAN,SPATS2-like protein OS=Homo sapiens GN=SPATS2L PE=1 SV=2,26.34,126.0271,7.8442,NaN,NaN,NaN,30.29,31.7929,1.9789,NaN,NaN,NaN,NaN,NaN,NaN,27.06,51.6035,3.2119
REEP5_HUMAN,Receptor expression-enhancing protein 5 OS=Homo sapiens GN=REEP5 PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,10.58,25.7194,0.5587,NaN,NaN,NaN,14.29,99.6829,2.1652,21.16,132.6299,2.8809
FWCH2_HUMAN,FLYWCH family member 2 OS=Homo sapiens GN=FLYWCH2 PE=1 SV=1,45.71,18.4045,0.2701,NaN,NaN,NaN,55.71,4.9892,0.0732,NaN,NaN,NaN,NaN,NaN,NaN,41.43,7.5512,0.1108
MA7D1_HUMAN,MAP7 domain-containing protein 1 OS=Homo sapiens GN=MAP7D1 PE=1 SV=1,18.31,34.4813,3.2124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.61,41.8307,3.897,31.75,17.0056,1.5843
UAP1_HUMAN,UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens GN=UAP1 PE=1 SV=3,34.29,65.9107,3.8998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.5,15.5982,0.9229,32.95,35.7895,2.1176
EPS8_HUMAN,Epidermal growth factor receptor kinase substrate 8 OS=Homo sapiens GN=EPS8 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,23.84,10.5549,0.9734,NaN,NaN,NaN,15.45,11.9031,1.0977,21.9,36.7632,3.3904
IKIP_HUMAN,Inhibitor of nuclear factor kappa-B kinase-interacting protein OS=Homo sapiens GN=IKBIP PE=1 SV=1,30.57,28.4235,1.1205,NaN,NaN,NaN,26.29,23.8693,0.941,39.14,8.2137,0.3238,NaN,NaN,NaN,NaN,NaN,NaN
SURF2_HUMAN,Surfeit locus protein 2 OS=Homo sapiens GN=SURF2 PE=1 SV=3,17.19,14.6842,0.4421,3.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.19,17.3443,0.5221,NaN,NaN,NaN
PKHO1_HUMAN,Pleckstrin homology domain-containing family O member 1 OS=Homo sapiens GN=PLEKHO1 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,34.72,16.109,0.7485,NaN,NaN,NaN,19.8,23.1856,1.0773,19.32,18.762,0.8718
ADNP_HUMAN,Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1,25.41,73.2494,9.1512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.31,74.8048,9.3455,32.03,72.5674,9.066
NUP62_HUMAN,Nuclear pore glycoprotein p62 OS=Homo sapiens GN=NUP62 PE=1 SV=3,17.24,106.7866,5.7052,NaN,NaN,NaN,NaN,NaN,NaN,11.11,6.5921,0.3522,NaN,NaN,NaN,18.2,61.6489,3.2937
PRDM1_HUMAN,PR domain zinc finger protein 1 OS=Homo sapiens GN=PRDM1 PE=1 SV=2,8.36,30.0477,2.7952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.09,100.3259,9.3329,15.03,42.8901,3.9899
RBM34_HUMAN,RNA-binding protein 34 OS=Homo sapiens GN=RBM34 PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.77,10.2514,0.499,18.84,31.3398,1.5256,16.98,23.4102,1.1396
AN32E_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens GN=ANP32E PE=1 SV=1,20.9,159.725,4.9388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.81,74.9677,2.318,16.79,108.8223,3.3649
TYDP2_HUMAN,Tyrosyl-DNA phosphodiesterase 2 OS=Homo sapiens GN=TDP2 PE=1 SV=1,16.02,5.2099,0.2168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.51,7.3754,0.3069,19.61,8.7685,0.3649
MYO5B_HUMAN,Unconventional myosin-Vb OS=Homo sapiens GN=MYO5B PE=1 SV=3,NaN,NaN,NaN,NaN,NaN,NaN,14.07,44.9934,9.6857,15.96,46.2138,9.9484,NaN,NaN,NaN,17.8,14.4506,3.1108
EXD1_HUMAN,Exonuclease 3'-5' domain-containing protein 1 OS=Homo sapiens GN=EXD1 PE=2 SV=4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.92,38.3101,2.2588,16.15,50.4576,2.9751,10.12,23.9959,1.4149
GNAT2_HUMAN,Guanine nucleotide-binding protein G(t) subunit alpha-2 OS=Homo sapiens GN=GNAT2 PE=1 SV=4,18.64,2.7329,0.1114,NaN,NaN,NaN,7.34,1.1066,0.0451,NaN,NaN,NaN,NaN,NaN,NaN,17.23,5.9418,0.2421
RGPD1_HUMAN,RANBP2-like and GRIP domain-containing protein 1 OS=Homo sapiens GN=RGPD1 PE=2 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,20.37,NaN,NaN,15.16,62.7016,12.424,NaN,NaN,NaN,18.71,13.4868,2.6723
CLP1_HUMAN,Polyribonucleotide 5'-hydroxyl-kinase Clp1 OS=Homo sapiens GN=CLP1 PE=1 SV=1,7.76,120.0956,5.7768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.76,188.4206,9.0634,16.94,319.0529,15.347
GTPB1_HUMAN,GTP-binding protein 1 OS=Homo sapiens GN=GTPBP1 PE=1 SV=3,24.07,88.9324,6.4993,NaN,NaN,NaN,NaN,NaN,NaN,18.98,6.2382,0.4559,NaN,NaN,NaN,26.91,30.0137,2.1934
DYR_HUMAN,Dihydrofolate reductase OS=Homo sapiens GN=DHFR PE=1 SV=2,38.5,28.9209,0.6221,NaN,NaN,NaN,29.95,29.8396,0.6418,NaN,NaN,NaN,22.46,21.3429,0.4591,NaN,NaN,NaN
F184A_HUMAN,Protein FAM184A OS=Homo sapiens GN=FAM184A PE=2 SV=3,25.26,67.4157,8.9793,NaN,NaN,NaN,NaN,NaN,NaN,19.3,8.9678,1.1945,NaN,NaN,NaN,13.86,21.5951,2.8763
SC24A_HUMAN,Protein transport protein Sec24A OS=Homo sapiens GN=SEC24A PE=1 SV=2,19.03,85.1135,10.2603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.82,5.996,0.7228,15.83,33.1043,3.9907
YTHD1_HUMAN,YTH domain-containing family protein 1 OS=Homo sapiens GN=YTHDF1 PE=1 SV=1,22.9,28.5067,1.7402,NaN,NaN,NaN,NaN,NaN,NaN,14.13,6.7146,0.4099,NaN,NaN,NaN,15.74,12.1146,0.7395
B3GA3_HUMAN,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens GN=B3GAT3 PE=1 SV=2,31.34,51.4692,1.9194,NaN,NaN,NaN,36.72,31.7806,1.1852,18.21,7.6581,0.2856,NaN,NaN,NaN,NaN,NaN,NaN
XPP3_HUMAN,Probable Xaa-Pro aminopeptidase 3 OS=Homo sapiens GN=XPNPEP3 PE=1 SV=1,NaN,NaN,NaN,21.1,13.0611,0.7531,NaN,NaN,NaN,NaN,NaN,NaN,19.72,46.6858,2.692,12.23,102.3854,5.9036
GBB4_HUMAN,Guanine nucleotide-binding protein subunit beta-4 OS=Homo sapiens GN=GNB4 PE=1 SV=3,8.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.88,NaN,NaN,NaN,NaN,NaN,8.24,114.204,4.375
DJC13_HUMAN,DnaJ homolog subfamily C member 13 OS=Homo sapiens GN=DNAJC13 PE=1 SV=5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.16,44.8376,11.5097,15.69,30.1929,7.7504,22.78,79.4689,20.3994
ELP1_HUMAN,Elongator complex protein 1 OS=Homo sapiens GN=IKBKAP PE=1 SV=3,20.05,55.2782,8.3972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.59,25.4345,3.8637,12.31,56.8281,8.6327
1A32_HUMAN,HLA class I histocompatibility antigen_ A-32 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.34,NaN,NaN,12.6,NaN,NaN,19.18,NaN,NaN
PR40B_HUMAN,Pre-mRNA-processing factor 40 homolog B OS=Homo sapiens GN=PRPF40B PE=1 SV=1,16.19,16.6517,1.6602,11.25,3.7815,0.377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.37,48.9085,4.8762
LRC45_HUMAN,Leucine-rich repeat-containing protein 45 OS=Homo sapiens GN=LRRC45 PE=1 SV=1,22.84,347.4727,26.5892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.91,19.695,1.5071,14.78,9.1013,0.6964
EMC2_HUMAN,ER membrane protein complex subunit 2 OS=Homo sapiens GN=EMC2 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,32.32,16.9157,0.5921,NaN,NaN,NaN,25.25,91.0413,3.1869,16.16,29.21,1.0225
CC113_HUMAN,Coiled-coil domain-containing protein 113 OS=Homo sapiens GN=CCDC113 PE=1 SV=1,NaN,NaN,NaN,NaN,NaN,NaN,39.52,6.1198,0.271,25.2,11.0111,0.4875,NaN,NaN,NaN,26.26,22.0657,0.977
VP13D_HUMAN,Vacuolar protein sorting-associated protein 13D OS=Homo sapiens GN=VPS13D PE=1 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.28,336.7811,166.9357,11.24,142.8521,70.809,10.67,296.7297,147.083
S35A1_HUMAN,CMP-sialic acid transporter OS=Homo sapiens GN=SLC35A1 PE=2 SV=1,10.98,8.6845,0.3229,NaN,NaN,NaN,8.61,39.7922,1.4794,NaN,NaN,NaN,1.19,NaN,NaN,NaN,NaN,NaN
SFXN3_HUMAN,Sideroflexin-3 OS=Homo sapiens GN=SFXN3 PE=1 SV=2,42.77,44.6404,1.6214,NaN,NaN,NaN,17.85,6.5939,0.2395,NaN,NaN,NaN,NaN,NaN,NaN,18.15,47.9368,1.7411
AN34C_HUMAN,Ankyrin repeat domain-containing protein 34C OS=Homo sapiens GN=ANKRD34C PE=2 SV=2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.09,11.5849,0.6795,7.48,21.8742,1.283,23.74,32.5047,1.9066
